S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
2177,16/08/2020,Delhi,151928,11489,136251,4188
2178,17/08/2020,Delhi,152580,10823,137561,4196
2179,18/08/2020,Delhi,153367,10852,138301,4214
2180,19/08/2020,Delhi,154741,11068,139447,4226
2181,20/08/2020,Delhi,156139,11137,140767,4235
2182,21/08/2020,Delhi,157354,11271,141826,4257
2183,22/08/2020,Delhi,158604,11426,142908,4270
2184,23/08/2020,Delhi,160016,11594,144138,4284
2185,24/08/2020,Delhi,161466,11778,145388,4300
2186,25/08/2020,Delhi,162527,11626,146588,4313
2187,26/08/2020,Delhi,164071,11998,147743,4330
2188,27/08/2020,Delhi,165764,12520,148897,4347
2189,28/08/2020,Delhi,167604,13208,150027,4369
2190,29/08/2020,Delhi,169412,13550,151473,4389
2191,30/08/2020,Delhi,171366,14040,152922,4404
2192,31/08/2020,Delhi,173390,14793,154171,4426
2193,01/09/2020,Delhi,174748,14626,155678,4444
2194,02/09/2020,Delhi,177060,15870,156728,4462
2195,03/09/2020,Delhi,179569,16502,158586,4481
2196,04/09/2020,Delhi,182306,17692,160114,4500
2197,05/09/2020,Delhi,185220,18842,161865,4513
2198,06/09/2020,Delhi,188193,19870,163785,4538
2199,07/09/2020,Delhi,191449,20909,165973,4567
2200,08/09/2020,Delhi,193526,20543,168384,4599
2201,09/09/2020,Delhi,197135,22377,170140,4618
2202,10/09/2020,Delhi,201174,23773,172763,4638
2203,11/09/2020,Delhi,205482,25416,175400,4666
2204,12/09/2020,Delhi,209748,26907,178154,4687
2205,13/09/2020,Delhi,214069,28059,181295,4715
2206,14/09/2020,Delhi,218304,28812,184748,4744
2207,15/09/2020,Delhi,221533,28641,188122,4770
2208,16/09/2020,Delhi,225796,29787,191203,4806
2209,17/09/2020,Delhi,230269,30914,194516,4839
2210,18/09/2020,Delhi,234701,31721,198103,4877
2211,19/09/2020,Delhi,238828,32250,201671,4907
2212,20/09/2020,Delhi,242899,32064,205890,4945
2213,21/09/2020,Delhi,246711,32097,209632,4982
2214,22/09/2020,Delhi,249259,30941,213304,5014
2215,23/09/2020,Delhi,253075,31623,216401,5051
2216,24/09/2020,Delhi,256789,30836,220866,5087
2217,25/09/2020,Delhi,260623,31125,224375,5123
2218,26/09/2020,Delhi,264450,30867,228436,5147
2219,27/09/2020,Delhi,267822,29717,232912,5193
2220,28/09/2020,Delhi,271114,29228,236651,5235
2221,29/09/2020,Delhi,273098,27123,240703,5272
2222,30/09/2020,Delhi,276325,27524,243481,5320
2223,01/10/2020,Delhi,279715,26908,247446,5361
2224,02/10/2020,Delhi,282752,26738,250613,5401
2225,03/10/2020,Delhi,285672,26450,253784,5438
2226,04/10/2020,Delhi,287930,25234,257224,5472
2227,05/10/2020,Delhi,290613,24753,260350,5510
2228,06/10/2020,Delhi,292560,23080,263938,5542
2229,07/10/2020,Delhi,295236,22720,266935,5581
2230,08/10/2020,Delhi,298107,22186,270305,5616
2231,09/10/2020,Delhi,300833,22232,272948,5653
2232,10/10/2020,Delhi,303693,21955,276046,5692
2233,11/10/2020,Delhi,306559,22007,278812,5740
2234,12/10/2020,Delhi,309339,21701,281869,5769
2235,13/10/2020,Delhi,311188,20535,284844,5809
2236,14/10/2020,Delhi,314224,21490,286880,5854
2237,15/10/2020,Delhi,317548,21903,289747,5898
2238,16/10/2020,Delhi,321031,22605,292502,5924
2239,17/10/2020,Delhi,324459,22814,295699,5946
2240,18/10/2020,Delhi,327718,22884,298853,5981
2241,19/10/2020,Delhi,331017,23292,301716,6009
2242,20/10/2020,Delhi,333171,22570,304561,6040
2243,21/10/2020,Delhi,336750,23922,306747,6081
2244,22/10/2020,Delhi,340436,24117,310191,6128
2245,23/10/2020,Delhi,344318,25237,312918,6163
2246,24/10/2020,Delhi,348404,26001,316214,6189
2247,25/10/2020,Delhi,352520,26467,319828,6225
2248,26/10/2020,Delhi,356656,26744,323654,6258
2249,27/10/2020,Delhi,359488,25786,327390,6312
2250,28/10/2020,Delhi,364341,27873,330112,6356
2251,29/10/2020,Delhi,370014,29378,334240,6396
2252,30/10/2020,Delhi,375753,30952,338378,6423
2253,31/10/2020,Delhi,381644,32363,342811,6470
2254,01/11/2020,Delhi,386706,32719,347476,6511
2255,02/11/2020,Delhi,392370,34173,351635,6562
2256,03/11/2020,Delhi,396371,33308,356459,6604
2257,04/11/2020,Delhi,403096,36375,360069,6652
2258,05/11/2020,Delhi,409938,37369,365866,6703
2259,06/11/2020,Delhi,416653,38729,371155,6769
2260,26/03/2020,Goa,3,3,0,0
2261,27/03/2020,Goa,3,3,0,0
2262,28/03/2020,Goa,3,3,0,0
2263,29/03/2020,Goa,3,3,0,0
2264,30/03/2020,Goa,5,5,0,0
2265,31/03/2020,Goa,5,5,0,0
2266,01/04/2020,Goa,5,5,0,0
2267,02/04/2020,Goa,5,5,0,0
2268,03/04/2020,Goa,6,6,0,0
2269,04/04/2020,Goa,6,6,0,0
2270,05/04/2020,Goa,7,7,0,0
2271,06/04/2020,Goa,7,7,0,0
2272,07/04/2020,Goa,7,7,0,0
2273,08/04/2020,Goa,7,7,0,0
2274,09/04/2020,Goa,7,7,0,0
2275,10/04/2020,Goa,7,7,0,0
2276,11/04/2020,Goa,7,6,1,0
2277,12/04/2020,Goa,7,2,5,0
2278,13/04/2020,Goa,7,2,5,0
2279,14/04/2020,Goa,7,2,5,0
2280,15/04/2020,Goa,7,2,5,0
2281,16/04/2020,Goa,7,2,5,0
2282,17/04/2020,Goa,7,1,6,0
2283,18/04/2020,Goa,7,1,6,0
2284,19/04/2020,Goa,7,1,6,0
2285,20/04/2020,Goa,7,0,7,0
2286,21/04/2020,Goa,7,0,7,0
2287,22/04/2020,Goa,7,0,7,0
2288,23/04/2020,Goa,7,0,7,0
2289,24/04/2020,Goa,7,0,7,0
2290,25/04/2020,Goa,7,0,7,0
2291,26/04/2020,Goa,7,0,7,0
2292,27/04/2020,Goa,7,0,7,0
2293,28/04/2020,Goa,7,0,7,0
2294,29/04/2020,Goa,7,0,7,0
2295,30/04/2020,Goa,7,0,7,0
2296,01/05/2020,Goa,7,0,7,0
2297,02/05/2020,Goa,7,0,7,0
2298,03/05/2020,Goa,7,0,7,0
2299,04/05/2020,Goa,7,0,7,0
2300,05/05/2020,Goa,7,0,7,0
2301,06/05/2020,Goa,7,0,7,0
2302,07/05/2020,Goa,7,0,7,0
2303,08/05/2020,Goa,7,0,7,0
2304,09/05/2020,Goa,7,0,7,0
2305,10/05/2020,Goa,7,0,7,0
2306,11/05/2020,Goa,7,0,7,0
2307,12/05/2020,Goa,7,0,7,0
2308,13/05/2020,Goa,7,0,7,0
2309,14/05/2020,Goa,7,0,7,0
2310,15/05/2020,Goa,14,7,7,0
2311,16/05/2020,Goa,15,8,7,0
2312,17/05/2020,Goa,17,10,7,0
2313,18/05/2020,Goa,29,22,7,0
2314,19/05/2020,Goa,38,31,7,0
2315,20/05/2020,Goa,46,39,7,0
2316,21/05/2020,Goa,50,43,7,0
2317,22/05/2020,Goa,52,45,7,0
2318,23/05/2020,Goa,54,38,16,0
2319,24/05/2020,Goa,55,39,16,0
2320,25/05/2020,Goa,66,47,19,0
2321,26/05/2020,Goa,67,48,19,0
2322,27/05/2020,Goa,67,39,28,0
2323,28/05/2020,Goa,68,31,37,0
2324,29/05/2020,Goa,69,31,38,0
2325,30/05/2020,Goa,69,28,41,0
2326,31/05/2020,Goa,70,29,41,0
2327,01/06/2020,Goa,70,28,42,0
2328,02/06/2020,Goa,71,29,42,0
2329,03/06/2020,Goa,79,22,57,0
2330,04/06/2020,Goa,79,22,57,0
2331,05/06/2020,Goa,166,109,57,0
2332,06/06/2020,Goa,196,131,65,0
2333,07/06/2020,Goa,267,202,65,0
2334,08/06/2020,Goa,300,235,65,0
2335,09/06/2020,Goa,330,263,67,0
2336,10/06/2020,Goa,359,292,67,0
2337,11/06/2020,Goa,387,320,67,0
2338,12/06/2020,Goa,417,350,67,0
2339,13/06/2020,Goa,463,394,69,0
2340,14/06/2020,Goa,523,453,70,0
2341,15/06/2020,Goa,564,490,74,0
2342,16/06/2020,Goa,592,507,85,0
2343,17/06/2020,Goa,629,544,85,0
2344,18/06/2020,Goa,656,560,96,0
2345,19/06/2020,Goa,705,596,109,0
2346,20/06/2020,Goa,725,607,118,0
2347,21/06/2020,Goa,754,625,129,0
2348,22/06/2020,Goa,754,625,129,0
2349,23/06/2020,Goa,864,711,152,1
2350,24/06/2020,Goa,909,703,205,1
2351,25/06/2020,Goa,951,660,289,2
2352,26/06/2020,Goa,995,658,335,2
2353,27/06/2020,Goa,1039,667,370,2
2354,28/06/2020,Goa,1128,706,420,2
2355,29/06/2020,Goa,1198,717,478,3
2356,30/06/2020,Goa,1198,717,478,3
2357,01/07/2020,Goa,1315,716,596,3
2358,02/07/2020,Goa,1387,713,670,4
2359,03/07/2020,Goa,1482,744,734,4
2360,04/07/2020,Goa,1482,744,734,4
2361,05/07/2020,Goa,1684,853,825,6
2362,06/07/2020,Goa,1761,818,936,7
2363,07/07/2020,Goa,1813,745,1061,7
2364,08/07/2020,Goa,1903,739,1156,8
2365,09/07/2020,Goa,2039,824,1207,8
2366,10/07/2020,Goa,2151,869,1273,9
2367,11/07/2020,Goa,2251,895,1347,9
2368,12/07/2020,Goa,2368,928,1428,12
2369,13/07/2020,Goa,2453,952,1487,14
2370,14/07/2020,Goa,2583,1026,1540,17
2371,15/07/2020,Goa,2753,1128,1607,18
2372,16/07/2020,Goa,2951,1259,1674,18
2373,17/07/2020,Goa,3108,1272,1817,19
2374,18/07/2020,Goa,3304,1337,1946,21
2375,19/07/2020,Goa,3484,1425,2038,21
2376,20/07/2020,Goa,3657,1417,2218,22
2377,21/07/2020,Goa,3853,1469,2361,23
2378,22/07/2020,Goa,4027,1552,2449,26
2379,23/07/2020,Goa,4176,1607,2541,28
2380,24/07/2020,Goa,4350,1666,2655,29
2381,25/07/2020,Goa,4540,1646,2865,29
2382,26/07/2020,Goa,4686,1606,3047,33
2383,27/07/2020,Goa,4861,1549,3277,35
2384,28/07/2020,Goa,5119,1673,3410,36
2385,29/07/2020,Goa,5287,1656,3595,36
2386,30/07/2020,Goa,5489,1666,3784,39
2387,31/07/2020,Goa,5704,1657,4005,42
2388,01/08/2020,Goa,5913,1657,4211,45
2389,02/08/2020,Goa,6193,1707,4438,48
2390,03/08/2020,Goa,6530,1809,4668,53
2391,04/08/2020,Goa,6816,1884,4876,56
2392,05/08/2020,Goa,7075,1901,5114,60
2393,06/08/2020,Goa,7423,2072,5287,64
2394,07/08/2020,Goa,7614,2095,5453,66
2395,08/08/2020,Goa,7947,2282,5595,70
2396,09/08/2020,Goa,8206,2332,5802,72
2397,10/08/2020,Goa,8712,2642,5995,75
2398,11/08/2020,Goa,9029,2741,6208,80
2399,12/08/2020,Goa,9444,2878,6480,86
2400,13/08/2020,Goa,9924,3194,6641,89
2401,14/08/2020,Goa,10494,3491,6912,91
2402,15/08/2020,Goa,10970,3720,7157,93
2403,16/08/2020,Goa,11339,3753,7488,98
2404,17/08/2020,Goa,11639,3760,7775,104
2405,18/08/2020,Goa,11994,3825,8058,111
2406,19/08/2020,Goa,12333,3861,8356,116
2407,20/08/2020,Goa,12675,3838,8713,124
2408,21/08/2020,Goa,13099,3910,9063,126
2409,22/08/2020,Goa,13484,3809,9540,135
2410,23/08/2020,Goa,13790,3631,10019,140
2411,24/08/2020,Goa,13999,3383,10472,144
2412,25/08/2020,Goa,14138,3081,10909,148
2413,26/08/2020,Goa,14530,3149,11224,157
2414,27/08/2020,Goa,15027,3351,11511,165
2415,28/08/2020,Goa,15483,3445,11867,171
2416,29/08/2020,Goa,16006,3535,12296,175
2417,30/08/2020,Goa,16553,3646,12729,178
2418,31/08/2020,Goa,17004,3635,13186,183
2419,01/09/2020,Goa,17418,3649,13577,192
2420,02/09/2020,Goa,18006,3962,13850,194
2421,03/09/2020,Goa,18642,4379,14059,204
2422,04/09/2020,Goa,19355,4782,14361,212
2423,05/09/2020,Goa,19863,4896,14747,220
2424,06/09/2020,Goa,20455,4945,15281,229
2425,07/09/2020,Goa,20829,4754,15839,236
2426,08/09/2020,Goa,21173,4501,16427,245
2427,09/09/2020,Goa,21630,4499,16875,256
2428,10/09/2020,Goa,22251,4833,17156,262
2429,11/09/2020,Goa,22890,5030,17592,268
2430,12/09/2020,Goa,23445,5104,18065,276
2431,13/09/2020,Goa,24185,5323,18576,286
2432,14/09/2020,Goa,24592,5173,19129,290
2433,15/09/2020,Goa,24898,4946,19648,304
2434,16/09/2020,Goa,25511,5102,20094,315
2435,17/09/2020,Goa,26139,5375,20445,319
2436,18/09/2020,Goa,26783,5612,20844,327
2437,19/09/2020,Goa,27379,5730,21314,335
2438,20/09/2020,Goa,28022,5920,21760,342
2439,21/09/2020,Goa,28429,5781,22297,351
2440,22/09/2020,Goa,28753,5667,22726,360
2441,23/09/2020,Goa,29343,5513,23462,368
2442,24/09/2020,Goa,29879,5646,23857,376
2443,25/09/2020,Goa,30552,5822,24347,383
2444,26/09/2020,Goa,31071,5614,25071,386
2445,27/09/2020,Goa,31574,5424,25759,391
2446,28/09/2020,Goa,31958,5097,26460,401
2447,29/09/2020,Goa,32396,4917,27072,407
2448,30/09/2020,Goa,32777,4577,27781,419
2449,01/10/2020,Goa,33418,4865,28125,428
2450,02/10/2020,Goa,33942,4977,28525,440
2451,03/10/2020,Goa,34455,5009,29004,442
2452,04/10/2020,Goa,34900,4923,29527,450
2453,05/10/2020,Goa,35328,4839,30033,456
2454,06/10/2020,Goa,35719,4803,30456,460
2455,07/10/2020,Goa,36238,4720,31050,468
2456,08/10/2020,Goa,36670,4749,31444,477
2457,09/10/2020,Goa,37102,4716,31902,484
2458,10/10/2020,Goa,37591,4783,32317,491
2459,11/10/2020,Goa,37934,4658,32777,499
2460,12/10/2020,Goa,38366,4656,33203,507
2461,13/10/2020,Goa,38674,4465,33698,511
2462,14/10/2020,Goa,39082,4316,34252,514
2463,15/10/2020,Goa,39438,4188,34731,519
2464,16/10/2020,Goa,39770,4084,35161,525
2465,17/10/2020,Goa,40091,3950,35610,531
2466,18/10/2020,Goa,40400,3827,36035,538
2467,19/10/2020,Goa,40587,3648,36395,544
2468,20/10/2020,Goa,40746,3283,36914,549
2469,21/10/2020,Goa,41031,3201,37275,555
2470,22/10/2020,Goa,41339,3099,37683,557
2471,23/10/2020,Goa,41586,2991,38031,564
2472,24/10/2020,Goa,41813,2824,38421,568
2473,25/10/2020,Goa,42031,2692,38769,570
2474,26/10/2020,Goa,42242,2576,39090,576
2475,27/10/2020,Goa,42532,2517,39433,582
2476,28/10/2020,Goa,42747,2384,39778,585
2477,29/10/2020,Goa,42968,2402,39974,592
2478,30/10/2020,Goa,43201,2436,40168,597
2479,31/10/2020,Goa,43416,2405,40409,602
2480,01/11/2020,Goa,43626,2344,40678,604
2481,02/11/2020,Goa,43768,2244,40915,609
2482,03/11/2020,Goa,43954,2215,41123,616
2483,04/11/2020,Goa,44189,2209,41362,618
2484,05/11/2020,Goa,44372,2135,41611,626
2485,06/11/2020,Goa,44544,2065,41849,630
2486,20/03/2020,Gujarat,2,2,0,0
2487,21/03/2020,Gujarat,7,7,0,0
2488,22/03/2020,Gujarat,18,17,0,1
2489,23/03/2020,Gujarat,29,28,0,1
2490,24/03/2020,Gujarat,29,28,0,1
2491,25/03/2020,Gujarat,33,32,0,1
2492,26/03/2020,Gujarat,38,36,0,2
2493,27/03/2020,Gujarat,43,40,0,3
2494,28/03/2020,Gujarat,45,42,0,3
2495,29/03/2020,Gujarat,53,49,0,4
2496,30/03/2020,Gujarat,58,52,1,5
2497,31/03/2020,Gujarat,73,64,3,6
2498,01/04/2020,Gujarat,74,63,5,6
2499,02/04/2020,Gujarat,82,71,5,6
2500,03/04/2020,Gujarat,87,72,8,7
2501,04/04/2020,Gujarat,95,76,10,9
2502,05/04/2020,Gujarat,105,81,14,10
2503,06/04/2020,Gujarat,122,93,18,11
2504,07/04/2020,Gujarat,144,110,22,12
2505,08/04/2020,Gujarat,165,127,25,13
2506,09/04/2020,Gujarat,179,138,25,16
2507,10/04/2020,Gujarat,241,198,26,17
2508,11/04/2020,Gujarat,308,258,31,19
2509,12/04/2020,Gujarat,432,366,44,22
2510,13/04/2020,Gujarat,516,447,44,25
2511,14/04/2020,Gujarat,539,459,54,26
2512,15/04/2020,Gujarat,650,563,59,28
2513,16/04/2020,Gujarat,766,669,64,33
2514,17/04/2020,Gujarat,930,821,73,36
2515,18/04/2020,Gujarat,1099,972,86,41
2516,19/04/2020,Gujarat,1376,1230,93,53
2517,20/04/2020,Gujarat,1743,1575,105,63
2518,21/04/2020,Gujarat,1939,1737,131,71
2519,22/04/2020,Gujarat,2178,1949,139,90
2520,23/04/2020,Gujarat,2407,2125,179,103
2521,24/04/2020,Gujarat,2624,2254,258,112
2522,25/04/2020,Gujarat,2815,2423,265,127
2523,26/04/2020,Gujarat,3071,2656,282,133
2524,27/04/2020,Gujarat,3301,2837,313,151
2525,28/04/2020,Gujarat,3548,2992,394,162
2526,29/04/2020,Gujarat,3744,3129,434,181
2527,30/04/2020,Gujarat,4082,3358,527,197
2528,01/05/2020,Gujarat,4395,3568,613,214
2529,02/05/2020,Gujarat,4721,3750,735,236
2530,03/05/2020,Gujarat,5054,3896,896,262
2531,04/05/2020,Gujarat,5428,4096,1042,290
2532,05/05/2020,Gujarat,5804,4290,1195,319
2533,06/05/2020,Gujarat,6245,4496,1381,368
2534,07/05/2020,Gujarat,6625,4729,1500,396
2535,08/05/2020,Gujarat,7012,4878,1709,425
2536,09/05/2020,Gujarat,7402,5081,1872,449
2537,10/05/2020,Gujarat,7796,5233,2091,472
2538,11/05/2020,Gujarat,8194,5156,2545,493
2539,12/05/2020,Gujarat,8541,5248,2780,513
2540,13/05/2020,Gujarat,8903,5120,3246,537
2541,14/05/2020,Gujarat,9267,5139,3562,566
2542,15/05/2020,Gujarat,9591,5252,3753,586
2543,16/05/2020,Gujarat,9931,5290,4035,606
2544,17/05/2020,Gujarat,10988,6055,4308,625
2545,18/05/2020,Gujarat,11379,6221,4499,659
2546,19/05/2020,Gujarat,11745,6247,4804,694
2547,20/05/2020,Gujarat,12140,6378,5043,719
2548,21/05/2020,Gujarat,12537,6569,5219,749
2549,22/05/2020,Gujarat,12905,6644,5488,773
2550,23/05/2020,Gujarat,13268,6586,5880,802
2551,24/05/2020,Gujarat,13664,6666,6169,829
2552,25/05/2020,Gujarat,14056,6786,6412,858
2553,26/05/2020,Gujarat,14460,6936,6636,888
2554,27/05/2020,Gujarat,14821,6767,7139,915
2555,28/05/2020,Gujarat,15195,6708,7549,938
2556,29/05/2020,Gujarat,15562,6599,8003,960
2557,30/05/2020,Gujarat,15934,6343,8611,980
2558,31/05/2020,Gujarat,16343,6106,9230,1007
2559,01/06/2020,Gujarat,16779,5822,9919,1038
2560,02/06/2020,Gujarat,17200,5357,10780,1063
2561,03/06/2020,Gujarat,17617,4631,11894,1092
2562,04/06/2020,Gujarat,18100,4766,12212,1122
2563,05/06/2020,Gujarat,18584,4762,12667,1155
2564,06/06/2020,Gujarat,19094,4901,13003,1190
2565,07/06/2020,Gujarat,19592,5057,13316,1219
2566,08/06/2020,Gujarat,20070,5186,13635,1249
2567,09/06/2020,Gujarat,20545,5309,13956,1280
2568,10/06/2020,Gujarat,21014,5336,14365,1313
2569,11/06/2020,Gujarat,21521,5439,14735,1347
2570,12/06/2020,Gujarat,22032,5546,15101,1385
2571,13/06/2020,Gujarat,22527,5619,15493,1415
2572,14/06/2020,Gujarat,23038,5707,15883,1448
2573,15/06/2020,Gujarat,23544,5742,16325,1477
2574,16/06/2020,Gujarat,24055,5886,16664,1505
2575,17/06/2020,Gujarat,24577,5962,17082,1533
2576,18/06/2020,Gujarat,25093,6103,17430,1560
2577,19/06/2020,Gujarat,25601,6191,17819,1591
2578,20/06/2020,Gujarat,26141,6364,18159,1618
2579,21/06/2020,Gujarat,26680,6348,18694,1638
2580,22/06/2020,Gujarat,27260,6248,19349,1663
2581,23/06/2020,Gujarat,27825,6232,19909,1684
2582,24/06/2020,Gujarat,28371,6148,20513,1710
2583,25/06/2020,Gujarat,28943,6120,21088,1735
2584,26/06/2020,Gujarat,29520,6269,21498,1753
2585,27/06/2020,Gujarat,30095,6294,22030,1771
2586,28/06/2020,Gujarat,30709,6511,22409,1789
2587,29/06/2020,Gujarat,31320,6712,22800,1808
2588,30/06/2020,Gujarat,31938,6871,23240,1827
2589,01/07/2020,Gujarat,32557,7049,23662,1846
2590,02/07/2020,Gujarat,33232,7335,24030,1867
2591,03/07/2020,Gujarat,33913,7434,24593,1886
2592,04/07/2020,Gujarat,34600,7763,24933,1904
2593,05/07/2020,Gujarat,35312,7981,25406,1925
2594,06/07/2020,Gujarat,36037,8202,25892,1943
2595,07/07/2020,Gujarat,36772,8497,26315,1960
2596,08/07/2020,Gujarat,37550,8853,26720,1977
2597,09/07/2020,Gujarat,38333,9051,27289,1993
2598,10/07/2020,Gujarat,39194,9468,27718,2008
2599,11/07/2020,Gujarat,40069,9900,28147,2022
2600,12/07/2020,Gujarat,40941,10260,28649,2032
2601,13/07/2020,Gujarat,41820,10613,29162,2045
2602,14/07/2020,Gujarat,42722,10897,29770,2055
2603,15/07/2020,Gujarat,43637,11065,30503,2069
2604,16/07/2020,Gujarat,44552,11187,31286,2079
2605,17/07/2020,Gujarat,45481,11289,32103,2089
2606,18/07/2020,Gujarat,46430,11351,32973,2106
2607,19/07/2020,Gujarat,47390,11233,34035,2122
2608,20/07/2020,Gujarat,48355,11312,34901,2142
2609,21/07/2020,Gujarat,49353,11513,35678,2162
2610,22/07/2020,Gujarat,50379,11760,36423,2196
2611,23/07/2020,Gujarat,51399,11915,37260,2224
2612,24/07/2020,Gujarat,52477,12247,37978,2252
2613,25/07/2020,Gujarat,53545,12418,38849,2278
2614,26/07/2020,Gujarat,54626,12695,39631,2300
2615,27/07/2020,Gujarat,55822,13131,40365,2326
2616,28/07/2020,Gujarat,56874,13146,41380,2348
2617,29/07/2020,Gujarat,57982,13198,42412,2372
2618,30/07/2020,Gujarat,59126,13535,43195,2396
2619,31/07/2020,Gujarat,60285,13793,44074,2418
2620,01/08/2020,Gujarat,61438,14090,44907,2441
2621,02/08/2020,Gujarat,62463,14300,45699,2464
2622,03/08/2020,Gujarat,63562,14572,46504,2486
2623,04/08/2020,Gujarat,64585,14599,47478,2508
2624,05/08/2020,Gujarat,65599,14690,48376,2533
2625,06/08/2020,Gujarat,66669,14680,49433,2556
2626,07/08/2020,Gujarat,67699,14766,50350,2583
2627,08/08/2020,Gujarat,68768,14443,51720,2605
2628,09/08/2020,Gujarat,69869,14386,52855,2628
2629,10/08/2020,Gujarat,70965,14147,54166,2652
2630,11/08/2020,Gujarat,72031,14055,55304,2672
2631,12/08/2020,Gujarat,73163,14024,56444,2695
2632,13/08/2020,Gujarat,74318,14184,57421,2713
2633,14/08/2020,Gujarat,75408,14210,58467,2731
2634,15/08/2020,Gujarat,76480,14196,59538,2746
2635,16/08/2020,Gujarat,77559,14241,60553,2765
2636,17/08/2020,Gujarat,78680,14383,61512,2785
2637,18/08/2020,Gujarat,79710,14315,62595,2800
2638,19/08/2020,Gujarat,80802,14279,63703,2820
2639,20/08/2020,Gujarat,81942,14282,64823,2837
2640,21/08/2020,Gujarat,83107,14308,65946,2853
2641,22/08/2020,Gujarat,84311,14177,67267,2867
2642,23/08/2020,Gujarat,85523,14399,68243,2881
2643,24/08/2020,Gujarat,86624,14517,69212,2895
2644,25/08/2020,Gujarat,87691,14552,70231,2908
2645,26/08/2020,Gujarat,88805,14641,71236,2928
2646,27/08/2020,Gujarat,89994,14767,72282,2945
2647,28/08/2020,Gujarat,91179,14742,73475,2962
2648,29/08/2020,Gujarat,92452,14951,74525,2976
2649,30/08/2020,Gujarat,93734,15109,75636,2989
2650,31/08/2020,Gujarat,95009,15272,76731,3006
2651,01/09/2020,Gujarat,96300,15524,77756,3020
2652,02/09/2020,Gujarat,97629,15708,78887,3034
2653,03/09/2020,Gujarat,98888,15913,79929,3046
2654,04/09/2020,Gujarat,100213,16096,81055,3062
2655,05/09/2020,Gujarat,101533,16184,82273,3076
2656,06/09/2020,Gujarat,102844,16334,83419,3091
2657,07/09/2020,Gujarat,104179,16443,84631,3105
2658,08/09/2020,Gujarat,105509,16482,85907,3120
2659,09/09/2020,Gujarat,106804,16319,87352,3133
2660,10/09/2020,Gujarat,108133,16296,88688,3149
2661,11/09/2020,Gujarat,109465,16198,90103,3164
2662,12/09/2020,Gujarat,110809,16286,91343,3180
2663,13/09/2020,Gujarat,112174,16301,92678,3195
2664,14/09/2020,Gujarat,113500,16407,93883,3210
2665,15/09/2020,Gujarat,114834,16469,95138,3227
2666,16/09/2020,Gujarat,116183,16357,96582,3244
2667,17/09/2020,Gujarat,117547,16262,98029,3256
2668,18/09/2020,Gujarat,118926,15975,99681,3270
2669,19/09/2020,Gujarat,120336,16076,100974,3286
2670,20/09/2020,Gujarat,121768,16022,102444,3302
2671,21/09/2020,Gujarat,123175,16208,103648,3319
2672,22/09/2020,Gujarat,124605,16305,104964,3336
2673,23/09/2020,Gujarat,126007,16370,106285,3352
2674,24/09/2020,Gujarat,127379,16438,107574,3367
2675,25/09/2020,Gujarat,128787,16327,109079,3381
2676,26/09/2020,Gujarat,130229,16478,110358,3393
2677,27/09/2020,Gujarat,131646,16463,111777,3406
2678,28/09/2020,Gujarat,133057,16633,113008,3416
2679,29/09/2020,Gujarat,134461,16689,114344,3428
2680,30/09/2020,Gujarat,135842,16676,115727,3439
2681,01/10/2020,Gujarat,137232,16683,117099,3450
2682,02/10/2020,Gujarat,138583,16690,118433,3460
2683,03/10/2020,Gujarat,139893,16735,119683,3475
2684,04/10/2020,Gujarat,141236,16762,120987,3487
2685,05/10/2020,Gujarat,142538,16809,122233,3496
2686,06/10/2020,Gujarat,143865,16718,123638,3509
2687,07/10/2020,Gujarat,145200,16570,125111,3519
2688,08/10/2020,Gujarat,146673,16485,126657,3531
2689,09/10/2020,Gujarat,147789,16465,127786,3538
2690,10/10/2020,Gujarat,149032,16181,129304,3547
2691,11/10/2020,Gujarat,150253,15936,130760,3557
2692,12/10/2020,Gujarat,151434,15695,132173,3566
2693,13/10/2020,Gujarat,152603,15414,133615,3574
2694,14/10/2020,Gujarat,153761,15187,134990,3584
2695,15/10/2020,Gujarat,154936,14937,136404,3595
2696,16/10/2020,Gujarat,156121,14782,137733,3606
2697,17/10/2020,Gujarat,157312,14683,139012,3617
2698,18/10/2020,Gujarat,158473,14565,140282,3626
2699,19/10/2020,Gujarat,159564,14414,141515,3635
2700,20/10/2020,Gujarat,160560,14255,142662,3643
2701,21/10/2020,Gujarat,161686,14245,143790,3651
2702,22/10/2020,Gujarat,162823,14193,144970,3660
2703,23/10/2020,Gujarat,163959,14121,146171,3667
2704,24/10/2020,Gujarat,165071,13963,147435,3673
2705,25/10/2020,Gujarat,166092,13965,148448,3679
2706,26/10/2020,Gujarat,167011,13914,149411,3686
2707,27/10/2020,Gujarat,167919,13716,150513,3690
2708,28/10/2020,Gujarat,168911,13465,151751,3695
2709,29/10/2020,Gujarat,169891,13332,152858,3701
2710,30/10/2020,Gujarat,170878,13232,153941,3705
2711,31/10/2020,Gujarat,171847,13168,154968,3711
2712,01/11/2020,Gujarat,172782,13084,155982,3716
2713,02/11/2020,Gujarat,173642,12811,157110,3721
2714,03/11/2020,Gujarat,174517,12678,158114,3725
2715,04/11/2020,Gujarat,175471,12429,159311,3731
2716,05/11/2020,Gujarat,176446,12376,160333,3737
2717,06/11/2020,Gujarat,177436,12304,161388,3744
2718,12/03/2020,Haryana,14,14,0,0
2719,13/03/2020,Haryana,14,14,0,0
